participant_id,language_group,german_level,learning_duration,start_time,end_time,trial,sentence,condition,expected,response,response_time,correct,Complexité,Ambiguité
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,1,Er bringt sie die Zeitung,simple_ambiguous,ungrammatical,ungrammatical,7240,True,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,2,"Sie lachen, denn sie sind glücklich",complex_non_ambiguous,grammatical,grammatical,7697,True,complex,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,3,Er ruft mich jeden Sonntag an,simple_non_ambiguous,grammatical,grammatical,7637,True,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,4,Mit viel Freude hat die Großmutter die Schokolade gegessen,simple_non_ambiguous,grammatical,grammatical,5818,True,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,5,Langsam fährt das Auto die Straße entlang,simple_non_ambiguous,grammatical,grammatical,7382,True,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,6,Sie liebt ihn,simple_non_ambiguous,grammatical,ungrammatical,6469,False,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,7,Den Alien erschreckt das Kind,simple_ambiguous,grammatical,ungrammatical,6853,False,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,8,Ich aufstehe jeden Tag um sieben Uhr,simple_ambiguous,ungrammatical,grammatical,6036,False,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,9,Ich kann nicht einschlafen,simple_non_ambiguous,grammatical,ungrammatical,5620,False,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,10,Sie liebt er,simple_ambiguous,ungrammatical,ungrammatical,6103,True,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,11,"Sie kommt nicht, da sie ist sehr krank",complex_ambiguous,ungrammatical,ungrammatical,3009,True,complex,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,12,Du räumst dein Zimmer auf,simple_non_ambiguous,grammatical,grammatical,5755,True,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,13,Sie aufmacht das Fenster,simple_ambiguous,ungrammatical,ungrammatical,5810,True,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,14,Den Kater jagt der Hund,simple_ambiguous,grammatical,ungrammatical,7416,False,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,15,Ich höre dir,simple_ambiguous,ungrammatical,grammatical,5987,False,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,16,Sie zeigt mich den Weg,simple_ambiguous,ungrammatical,grammatical,5732,False,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,17,Mach das Licht an,simple_non_ambiguous,grammatical,grammatical,5621,True,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,18,Wir geben ihr die Schlüssel,simple_non_ambiguous,grammatical,ungrammatical,6642,False,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,19,Ich gebe ihm das Buch,simple_non_ambiguous,grammatical,ungrammatical,6058,False,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,20,Wann kommst du in Berlin an?,simple_non_ambiguous,grammatical,grammatical,6049,True,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,21,sie steht jeden Tag um sechs Uhr auf,simple_non_ambiguous,grammatical,grammatical,5686,True,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,22,"Ihr seid eingeladen, wenn Ihr Zeit habt",complex_non_ambiguous,grammatical,grammatical,7168,True,complex,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,23,"Er ist müde, weil er hat spät ins Bett gegangen",complex_ambiguous,ungrammatical,ungrammatical,3873,True,complex,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,24,"Ich erkläre es, damit er es versteht",complex_non_ambiguous,grammatical,grammatical,6615,True,complex,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,25,Sie zeigt mir den Weg,simple_non_ambiguous,grammatical,ungrammatical,5029,False,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,26,Sie macht das Fenster auf,simple_non_ambiguous,grammatical,ungrammatical,5392,False,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,27,"Wir wissen nicht, ob er bei der Prüfung betrogen hat.",complex_non_ambiguous,grammatical,grammatical,5596,True,complex,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,28,Mach an das Licht!,simple_ambiguous,ungrammatical,grammatical,5684,False,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,29,"Er trinkt, weil er Durst hat",complex_non_ambiguous,grammatical,grammatical,5572,True,complex,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,30,Er anruft mich jeden Sonntag,simple_ambiguous,ungrammatical,ungrammatical,4654,True,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,31,Ich höre euch,simple_non_ambiguous,grammatical,grammatical,5125,True,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,32,Ich kann nicht schlafen ein.,simple_ambiguous,ungrammatical,ungrammatical,6924,True,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,33,"Er bleibt zu Hause, während seine arbeitet Frau",complex_ambiguous,ungrammatical,ungrammatical,4035,True,complex,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,34,Sie kommen morgen an,simple_non_ambiguous,grammatical,ungrammatical,5771,False,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,35,"Ich gehe raus, obwohl das Wetter schlecht ist.",complex_non_ambiguous,grammatical,ungrammatical,7412,False,complex,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,36,Ich schenke dir eine Blume,simple_non_ambiguous,grammatical,ungrammatical,4035,False,simple,non_ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,37,Wir geben sie die Schlüssel,simple_ambiguous,ungrammatical,ungrammatical,5723,True,simple,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,38,"Sie lernt Deutsch, seit sie wohnt in Berlin",complex_ambiguous,ungrammatical,grammatical,3264,False,complex,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,39,"Er kauft Blumen, bevor er geht nach Hause",complex_ambiguous,ungrammatical,grammatical,2177,False,complex,ambiguous
PMK8FE11WX5I4,pt,A2,,2026-01-10T14:53:55.028Z,2026-01-10T15:04:36.268Z,40,Er sieht mich,simple_non_ambiguous,grammatical,grammatical,4600,True,simple,non_ambiguous
